;source;target;weight
0;lt;tt;True
1;lt;game_score;True
2;lt;op1;True
3;lt;op2;True
4;lt;op5;True
5;lt;sv3;True
6;lt;sv4;True
7;lt;sv5;True
8;lt;sv6;True
9;game_score;tt;True
10;game_score;pt;True
11;op3;op2;True
12;op3;op5;True
13;sv1;lt;True
14;sv1;game_score;True
15;sv1;op5;True
16;sv1;sv2;True
17;sv1;sv3;True
18;sv2;lt;True
19;sv2;op2;True
20;sv2;sv4;True
21;sv3;op1;True
22;sv3;op3;True
23;sv4;op4;True
24;sv5;programa;True
25;sv6;op6;True
26;score;score_a;True
27;score;score_p;True
28;score_a;score_p;True
29;score_d;score;True
30;score_s;score_d;True
31;estado;op1;True
32;estado;programa;True
33;estado;sol1;True
